Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2019-1000,2019-01-01,2019-01-03,CUST001,Customer 1,Consumer,New York,NY,10000,East,P0001,Furniture,Bookcases,Product 1,50.0,1,0.0,5.0
CA-2019-1001,2019-01-08,2019-01-10,CUST002,Customer 2,Corporate,Los Angeles,CA,10001,West,P0002,Office Supplies,Paper,Product 2,62.5,2,0.1,6.25
CA-2019-1002,2019-01-15,2019-01-17,CUST003,Customer 3,Home Office,Chicago,IL,10002,Central,P0003,Technology,Phones,Product 3,75.0,3,0.2,-3.75
CA-2019-1003,2019-01-22,2019-01-24,CUST004,Customer 4,Consumer,Houston,TX,10003,South,P0004,Office Supplies,Binders,Product 4,87.5,4,0.0,8.75
CA-2019-1004,2019-01-29,2019-01-31,CUST005,Customer 5,Corporate,Phoenix,AZ,10004,West,P0005,Technology,Accessories,Product 5,100.0,5,0.05,10.0
CA-2019-1005,2019-02-05,2019-02-07,CUST006,Customer 6,Consumer,New York,NY,10005,East,P0006,Furniture,Bookcases,Product 6,112.5,1,0.0,11.25
CA-2019-1006,2019-02-12,2019-02-14,CUST007,Customer 7,Corporate,Los Angeles,CA,10006,West,P0007,Office Supplies,Paper,Product 7,125.0,2,0.1,12.5
CA-2019-1007,2019-02-19,2019-02-21,CUST008,Customer 8,Home Office,Chicago,IL,10007,Central,P0008,Technology,Phones,Product 8,137.5,3,0.2,-6.88
CA-2019-1008,2019-02-26,2019-02-28,CUST009,Customer 9,Consumer,Houston,TX,10008,South,P0009,Office Supplies,Binders,Product 9,150.0,4,0.0,15.0
CA-2019-1009,2019-03-05,2019-03-07,CUST010,Customer 10,Corporate,Phoenix,AZ,10009,West,P0010,Technology,Accessories,Product 10,162.5,5,0.05,16.25
CA-2019-1010,2019-03-12,2019-03-14,CUST011,Customer 11,Consumer,New York,NY,10010,East,P0011,Furniture,Bookcases,Product 11,175.0,1,0.0,17.5
CA-2019-1011,2019-03-19,2019-03-21,CUST012,Customer 12,Corporate,Los Angeles,CA,10011,West,P0012,Office Supplies,Paper,Product 12,187.5,2,0.1,18.75
CA-2019-1012,2019-03-26,2019-03-28,CUST013,Customer 13,Home Office,Chicago,IL,10012,Central,P0013,Technology,Phones,Product 13,200.0,3,0.2,-10.0
CA-2019-1013,2019-04-02,2019-04-04,CUST014,Customer 14,Consumer,Houston,TX,10013,South,P0014,Office Supplies,Binders,Product 14,212.5,4,0.0,21.25
CA-2019-1014,2019-04-09,2019-04-11,CUST015,Customer 15,Corporate,Phoenix,AZ,10014,West,P0015,Technology,Accessories,Product 15,225.0,5,0.05,22.5
CA-2019-1015,2019-04-16,2019-04-18,CUST016,Customer 16,Consumer,New York,NY,10015,East,P0016,Furniture,Bookcases,Product 16,237.5,1,0.0,23.75
CA-2019-1016,2019-04-23,2019-04-25,CUST017,Customer 17,Corporate,Los Angeles,CA,10016,West,P0017,Office Supplies,Paper,Product 17,250.0,2,0.1,25.0
CA-2019-1017,2019-04-30,2019-05-02,CUST018,Customer 18,Home Office,Chicago,IL,10017,Central,P0018,Technology,Phones,Product 18,262.5,3,0.2,-13.12
CA-2019-1018,2019-05-07,2019-05-09,CUST019,Customer 19,Consumer,Houston,TX,10018,South,P0019,Office Supplies,Binders,Product 19,275.0,4,0.0,27.5
CA-2019-1019,2019-05-14,2019-05-16,CUST020,Customer 20,Corporate,Phoenix,AZ,10019,West,P0020,Technology,Accessories,Product 20,287.5,5,0.05,28.75
CA-2019-1020,2019-05-21,2019-05-23,CUST021,Customer 21,Consumer,New York,NY,10020,East,P0001,Furniture,Bookcases,Product 21,50.0,1,0.0,5.0
CA-2019-1021,2019-05-28,2019-05-30,CUST022,Customer 22,Corporate,Los Angeles,CA,10021,West,P0002,Office Supplies,Paper,Product 22,62.5,2,0.1,6.25
CA-2019-1022,2019-06-04,2019-06-06,CUST023,Customer 23,Home Office,Chicago,IL,10022,Central,P0003,Technology,Phones,Product 23,75.0,3,0.2,-3.75
CA-2019-1023,2019-06-11,2019-06-13,CUST024,Customer 24,Consumer,Houston,TX,10023,South,P0004,Office Supplies,Binders,Product 24,87.5,4,0.0,8.75
CA-2019-1024,2019-06-18,2019-06-20,CUST025,Customer 25,Corporate,Phoenix,AZ,10024,West,P0005,Technology,Accessories,Product 25,100.0,5,0.05,10.0
CA-2019-1025,2019-06-25,2019-06-27,CUST026,Customer 26,Consumer,New York,NY,10025,East,P0006,Furniture,Bookcases,Product 26,112.5,1,0.0,11.25
CA-2019-1026,2019-07-02,2019-07-04,CUST027,Customer 27,Corporate,Los Angeles,CA,10026,West,P0007,Office Supplies,Paper,Product 27,125.0,2,0.1,12.5
CA-2019-1027,2019-07-09,2019-07-11,CUST028,Customer 28,Home Office,Chicago,IL,10027,Central,P0008,Technology,Phones,Product 28,137.5,3,0.2,-6.88
CA-2019-1028,2019-07-16,2019-07-18,CUST029,Customer 29,Consumer,Houston,TX,10028,South,P0009,Office Supplies,Binders,Product 29,150.0,4,0.0,15.0
CA-2019-1029,2019-07-23,2019-07-25,CUST030,Customer 30,Corporate,Phoenix,AZ,10029,West,P0010,Technology,Accessories,Product 30,162.5,5,0.05,16.25
